red,green,blue
40824,41413,41183
41005,41619,41368
41159,41770,41497
41282,41856,41563
41316,41857,41564
41317,41858,41565
41318,41859,41566
41319,41860,41567
41320,41861,41568
41321,41862,41569
41322,41863,41570
41323,41864,41571
41324,41865,41572
41344,41866,41573
41458,41867,41607
41588,41868,41710
41761,41903,41859
42031,42119,42077
42358,42384,42336
42691,42664,42605
42988,42944,42865
43274,43287,43156
43556,43651,43457
43832,43978,43741
44018,44165,43924
44019,44166,43925
44020,44167,43926
44021,44168,43927
44022,44169,43928
44023,44170,43929
44024,44171,43968
44203,44337,44205
44276,44383,44265
44277,44384,44266
44278,44385,44267
44279,44386,44268
44280,44387,44283
44306,44406,44337
44452,44448,44398
44579,44507,44474
44668,44595,44570
44746,44742,44691
44824,44920,44825
44902,45094,44959
44982,45224,45072
45065,45279,45133
45152,45300,45171
45242,45339,45222
45378,45481,45365
45809,45919,45852
46386,46491,46499
46884,46973,47040
47078,47147,47230
47079,47148,47231
47080,47149,47232
47081,47150,47233
47082,47151,47234
47083,47152,47235
47161,47184,47303
47451,47432,47529
47623,47615,47694
47674,47732,47787
47677,47823,47851
47709,47930,47932
47871,48118,48105
48341,48584,48582
48943,49180,49198
49430,49680,49706
49570,49863,49871
49571,49864,49872
49572,49865,49873
49573,49866,49874
49574,49867,49875
49575,49868,49876
49576,49869,49877
49577,49870,49878
49578,49871,49879
49640,50127,50058
50084,50573,50509
50488,50981,50919
50728,51229,51155
50729,51230,51156
50730,51231,51157
50731,51232,51158
50732,51233,51159
50893,51234,51160
51469,51625,51688
51964,52181,52182
52138,52321,52322
52139,52322,52323
52140,52323,52324
52141,52324,52325
52142,52325,52326
52143,52326,52327
52144,52327,52328
52203,52328,52329
52328,52329,52330
52347,52395,52462
52355,52631,52652
52375,52852,52827
52427,53024,52971
52490,53033,52982
52555,53034,52983
52630,53035,52984
52721,53036,52985
52830,53084,53000
52952,53240,53096
53080,53396,53193
53209,53534,53291
53354,53633,53390
53522,53714,53491
53707,53804,53596
53919,53951,53722
54385,54413,54174
54998,55074,54840
55517,55666,55436
55716,55941,55690
55778,56067,55798
55835,56181,55904
55893,56297,56009
55955,56426,56118
56021,56572,56230
56089,56725,56343
56156,56872,56456
56209,56993,56556
56210,56994,56557
56211,56995,56558
56212,56996,56559
56213,56997,56560
56214,56998,56561
56215,56999,56562
56488,57000,56563
56787,57001,56876
57056,57275,57281
57322,57738,57707
57589,58197,58131
57859,58595,58534
58157,58938,58911
58472,59236,59261
58780,59476,59572
59045,59639,59825
59046,59640,59826
59047,59641,59827
59048,59642,59828
59049,59643,59829
59050,59644,59830
59051,59645,59831
