sub,repetition,direction,hue,chroma,lightness,shape,group,observation,block,trial
0,2,-5,120,15,90,triangle,hard,282,9,39
0,2,0,85,15,90,triangle,hard,284,9,40
0,2,-90,60,15,90,triangle,hard,285,9,41
0,2,90,90,15,90,triangle,hard,286,9,42
0,2,90,85,15,90,fleur,hard,287,9,43
0,2,-30,180,15,90,triangle,hard,291,9,44
0,2,90,60,15,90,cross,hard,292,9,45
0,2,-30,95,15,90,cross,hard,293,9,46
0,2,90,120,15,90,cross,hard,296,9,47
0,2,30,60,15,90,fleur,hard,305,9,48
0,2,90,60,15,90,triangle,hard,306,10,0
0,2,-5,0,15,90,triangle,hard,310,10,1
0,2,0,120,15,90,fleur,hard,313,10,2
0,2,30,85,15,90,triangle,hard,314,10,3
0,2,30,180,15,90,cross,hard,316,10,4
0,2,90,0,15,90,fleur,hard,317,10,5
0,2,30,180,15,90,triangle,hard,322,10,6
0,2,-5,95,15,90,triangle,hard,324,10,7
0,2,-90,85,15,90,fleur,hard,325,10,8
0,2,-90,180,15,90,triangle,hard,327,10,9
0,2,-90,120,15,90,fleur,hard,332,10,10
0,2,-5,90,15,90,cross,hard,335,10,11
0,2,5,90,15,90,circle,hard,343,10,12
0,2,30,90,15,90,circle,hard,344,10,13
0,2,-30,0,15,90,cross,hard,346,10,14
0,2,-30,85,15,90,fleur,hard,347,10,15
0,2,30,120,15,90,cross,hard,351,10,16
0,2,-90,0,15,90,circle,hard,353,10,17
0,2,0,120,15,90,cross,hard,355,10,18
0,2,90,90,15,90,cross,hard,361,10,19
0,2,-30,180,15,90,fleur,hard,364,10,20
0,2,5,0,15,90,fleur,hard,366,10,21
0,2,-90,95,15,90,fleur,hard,369,10,22
0,2,5,180,15,90,cross,hard,371,10,23
0,2,0,0,15,90,triangle,hard,372,10,24
0,2,0,0,15,90,fleur,hard,373,10,25
0,2,-90,120,15,90,circle,hard,376,10,26
0,2,-90,60,15,90,cross,hard,378,10,27
0,2,0,60,15,90,fleur,hard,380,10,28
0,2,90,120,15,90,circle,hard,381,10,29
0,2,90,95,15,90,circle,hard,383,10,30
0,2,-90,0,15,90,fleur,hard,384,10,31
0,2,-90,90,15,90,cross,hard,385,10,32
0,2,90,85,15,90,circle,hard,387,10,33
0,2,5,0,15,90,cross,hard,389,10,34
0,2,-5,60,15,90,fleur,hard,390,10,35
0,2,-90,0,15,90,cross,hard,391,10,36
0,2,-30,180,15,90,cross,hard,396,10,37
0,2,0,180,15,90,cross,hard,404,10,38
0,2,90,85,15,90,triangle,hard,407,10,39
0,2,30,60,15,90,cross,hard,409,10,40
0,2,-30,95,15,90,fleur,hard,410,10,41
0,2,-5,120,15,90,circle,hard,413,10,42
0,2,0,95,15,90,circle,hard,421,10,43
0,2,30,90,15,90,fleur,hard,422,10,44
0,2,0,90,15,90,cross,hard,423,10,45
0,2,0,120,15,90,circle,hard,425,10,46
0,2,0,60,15,90,circle,hard,428,10,47
0,2,5,60,15,90,cross,hard,429,10,48
0,2,30,180,15,90,fleur,hard,438,11,0
0,2,0,60,15,90,cross,hard,439,11,1
0,2,5,90,15,90,cross,hard,440,11,2
0,2,90,180,15,90,cross,hard,442,11,3
0,2,5,60,15,90,fleur,hard,443,11,4
0,2,-30,120,15,90,circle,hard,447,11,5
0,2,-90,120,15,90,triangle,hard,452,11,6
0,2,5,120,15,90,fleur,hard,453,11,7
0,2,-30,120,15,90,fleur,hard,454,11,8
0,2,5,95,15,90,cross,hard,455,11,9
0,2,90,180,15,90,circle,hard,457,11,10
0,2,-30,120,15,90,triangle,hard,462,11,11
0,2,-30,95,15,90,triangle,hard,468,11,12
0,2,5,60,15,90,triangle,hard,470,11,13
0,2,0,90,15,90,circle,hard,472,11,14
0,2,-5,95,15,90,circle,hard,473,11,15
0,2,-90,90,15,90,fleur,hard,481,11,16
